"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 04 19:43:12 EDT 2026","Sat Apr 04 19:43:13 EDT 2026","1187","tests","test_checkout","TestCheckoutOverview","","","test_subtotal[firefox]",""
"passed","Sat Apr 04 19:43:20 EDT 2026","Sat Apr 04 19:43:21 EDT 2026","780","tests","test_cart","TestCartPage","","","test_item_price_shown[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","156","tests","test_cart","TestAddRemove","","","test_remove_from_inventory_page[chromium]",""
"passed","Sat Apr 04 19:43:13 EDT 2026","Sat Apr 04 19:43:17 EDT 2026","3630","tests","test_auth","TestLogin","","","test_products_heading_visible[firefox]",""
"passed","Sat Apr 04 19:43:20 EDT 2026","Sat Apr 04 19:43:20 EDT 2026","164","tests","test_inventory","TestSorting","","","test_price_low_to_high[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","337","tests","test_cart","TestAddRemove","","","test_add_two_items[chromium]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","658","tests","test_checkout","TestCheckoutOverview","","","test_cancel_on_overview_goes_to_inventory[chromium]",""
"passed","Sat Apr 04 19:43:11 EDT 2026","Sat Apr 04 19:43:11 EDT 2026","355","tests","test_cart","TestAddRemove","","","test_remove_from_cart_page[firefox]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","418","tests","test_checkout","TestCheckoutOverview","","","test_item_name_on_overview[chromium]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:03 EDT 2026","924","tests","test_auth","TestLogin","","","test_password_placeholder[chromium]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:03 EDT 2026","1024","tests","test_auth","TestLogin","","","test_problem_user_can_login[chromium]","problem_user logs in fine but has broken images — we just check login works"
"passed","Sat Apr 04 19:43:06 EDT 2026","Sat Apr 04 19:43:06 EDT 2026","56","tests","test_inventory","TestItemDetail","","","test_add_to_cart_toggles_to_remove[chromium]",""
"passed","Sat Apr 04 19:43:01 EDT 2026","Sat Apr 04 19:43:01 EDT 2026","943","tests","test_auth","TestLogin","","","test_empty_username_shows_error[chromium]",""
"passed","Sat Apr 04 19:43:22 EDT 2026","Sat Apr 04 19:43:22 EDT 2026","167","tests","test_inventory","TestSorting","","","test_price_high_to_low[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","217","tests","test_cart","TestCartPage","","","test_item_price_shown[chromium]",""
"passed","Sat Apr 04 19:43:22 EDT 2026","Sat Apr 04 19:43:22 EDT 2026","343","tests","test_inventory","TestSorting","","","test_za[firefox]",""
"passed","Sat Apr 04 19:43:18 EDT 2026","Sat Apr 04 19:43:18 EDT 2026","243","tests","test_inventory","TestInventoryDisplay","","","test_items_have_names[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","110","tests","test_cart","TestCartBadge","","","test_badge_shows_1[chromium]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","114","tests","test_cart","TestAddRemove","","","test_cart_starts_empty[chromium]",""
"passed","Sat Apr 04 19:43:13 EDT 2026","Sat Apr 04 19:43:15 EDT 2026","1339","tests","test_checkout","TestCheckoutStepOne","","","test_missing_zip[firefox]",""
"passed","Sat Apr 04 19:43:07 EDT 2026","Sat Apr 04 19:43:08 EDT 2026","899","tests","test_auth","TestLogin","","","test_standard_login[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","1218","tests","test_auth","TestLogin","","","test_bad_password[chromium]",""
"passed","Sat Apr 04 19:43:03 EDT 2026","Sat Apr 04 19:43:03 EDT 2026","215","tests","test_cart","TestAddRemove","","","test_add_one_item[chromium]",""
"passed","Sat Apr 04 19:43:14 EDT 2026","Sat Apr 04 19:43:17 EDT 2026","3218","tests","test_auth","TestLogin","","","test_both_empty[firefox]",""
"passed","Sat Apr 04 19:43:01 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","1636","tests","test_auth","TestLogin","","","test_both_empty[chromium]",""
"passed","Sat Apr 04 19:43:22 EDT 2026","Sat Apr 04 19:43:22 EDT 2026","284","tests","test_inventory","TestSorting","","","test_az[firefox]",""
"passed","Sat Apr 04 19:43:22 EDT 2026","Sat Apr 04 19:43:23 EDT 2026","228","tests","test_inventory","TestItemDetail","","","test_add_to_cart_toggles_to_remove[firefox]",""
"passed","Sat Apr 04 19:43:01 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","1025","tests","test_auth","TestLogin","","","test_dismiss_error[chromium]",""
"passed","Sat Apr 04 19:43:05 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","758","tests","test_checkout","TestOrderComplete","","","test_finish_shows_thank_you[chromium]",""
"passed","Sat Apr 04 19:43:10 EDT 2026","Sat Apr 04 19:43:10 EDT 2026","436","tests","test_checkout","TestCheckoutStepOne","","","test_cancel_goes_back_to_cart[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","554","tests","test_checkout","TestCheckoutStepOne","","","test_continue_to_overview[chromium]",""
"passed","Sat Apr 04 19:43:21 EDT 2026","Sat Apr 04 19:43:22 EDT 2026","348","tests","test_inventory","TestItemDetail","","","test_click_into_detail[firefox]",""
"passed","Sat Apr 04 19:43:05 EDT 2026","Sat Apr 04 19:43:06 EDT 2026","636","tests","test_checkout","TestOrderComplete","","","test_empty_cart_checkout[chromium]","go straight to checkout without adding anything"
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","126","tests","test_cart","TestCartBadge","","","test_badge_disappears_when_empty[chromium]",""
"passed","Sat Apr 04 19:43:18 EDT 2026","Sat Apr 04 19:43:19 EDT 2026","1333","tests","test_checkout","TestCheckoutStepOne","","","test_continue_to_overview[firefox]",""
"passed","Sat Apr 04 19:43:01 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","1416","tests","test_auth","TestLogin","","","test_standard_login[chromium]",""
"passed","Sat Apr 04 19:43:12 EDT 2026","Sat Apr 04 19:43:12 EDT 2026","470","tests","test_cart","TestCartBadge","","","test_badge_disappears_when_empty[firefox]",""
"passed","Sat Apr 04 19:43:22 EDT 2026","Sat Apr 04 19:43:23 EDT 2026","800","tests","test_checkout","TestCheckoutStepOne","","","test_missing_first_name[firefox]",""
"passed","Sat Apr 04 19:43:06 EDT 2026","Sat Apr 04 19:43:06 EDT 2026","51","tests","test_inventory","TestSorting","","","test_price_high_to_low[chromium]",""
"passed","Sat Apr 04 19:43:06 EDT 2026","Sat Apr 04 19:43:06 EDT 2026","28","tests","test_inventory","TestSorting","","","test_price_low_to_high[chromium]",""
"passed","Sat Apr 04 19:43:09 EDT 2026","Sat Apr 04 19:43:10 EDT 2026","1136","tests","test_auth","TestLogin","","","test_problem_user_can_login[firefox]","problem_user logs in fine but has broken images — we just check login works"
"passed","Sat Apr 04 19:43:05 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","195","tests","test_inventory","TestInventoryDisplay","","","test_prices_have_dollar_sign[chromium]",""
"passed","Sat Apr 04 19:43:01 EDT 2026","Sat Apr 04 19:43:01 EDT 2026","831","tests","test_auth","TestLogin","","","test_username_placeholder[chromium]",""
"passed","Sat Apr 04 19:43:20 EDT 2026","Sat Apr 04 19:43:20 EDT 2026","41","tests","test_inventory","TestInventoryDisplay","","","test_six_items_shown[firefox]",""
"passed","Sat Apr 04 19:43:03 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","324","tests","test_cart","TestCartPage","","","test_cart_survives_navigation[chromium]","add item, click into detail, go back — badge should still show 1"
"passed","Sat Apr 04 19:43:03 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","483","tests","test_checkout","TestCheckoutStepOne","","","test_info_page_loads[chromium]",""
"passed","Sat Apr 04 19:43:20 EDT 2026","Sat Apr 04 19:43:21 EDT 2026","850","tests","test_checkout","TestCheckoutStepOne","","","test_info_page_loads[firefox]",""
"passed","Sat Apr 04 19:43:15 EDT 2026","Sat Apr 04 19:43:18 EDT 2026","2746","tests","test_checkout","TestOrderComplete","","","test_back_home_after_order[firefox]",""
"passed","Sat Apr 04 19:43:18 EDT 2026","Sat Apr 04 19:43:18 EDT 2026","323","tests","test_inventory","TestInventoryDisplay","","","test_prices_have_dollar_sign[firefox]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","349","tests","test_checkout","TestCheckoutOverview","","","test_subtotal[chromium]",""
"passed","Sat Apr 04 19:43:07 EDT 2026","Sat Apr 04 19:43:08 EDT 2026","826","tests","test_auth","TestLogin","","","test_dismiss_error[firefox]",""
"passed","Sat Apr 04 19:43:21 EDT 2026","Sat Apr 04 19:43:21 EDT 2026","469","tests","test_inventory","TestInventoryDisplay","","","test_images_have_src[firefox]",""
"passed","Sat Apr 04 19:43:22 EDT 2026","Sat Apr 04 19:43:23 EDT 2026","668","tests","test_checkout","TestCheckoutStepOne","","","test_missing_last_name[firefox]",""
"passed","Sat Apr 04 19:43:20 EDT 2026","Sat Apr 04 19:43:20 EDT 2026","688","tests","test_cart","TestCartBadge","","","test_badge_increments[firefox]",""
"passed","Sat Apr 04 19:43:19 EDT 2026","Sat Apr 04 19:43:19 EDT 2026","514","tests","test_cart","TestAddRemove","","","test_add_two_items[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","525","tests","test_checkout","TestCheckoutStepOne","","","test_missing_last_name[chromium]",""
